"序号","试题内容","正确选项","A","B","C","D",""
"347","《太原局集团有限公司客运设备设施管理办法》规定  为旅客服务的车站电开水器、直饮水设备，列车保温桶，站车要(      )，加强日常管理。","D","加强管理","重点管理","有设备管理人员","明确设备管理人员",""
"348","《太原局集团有限公司客运设备设施管理办法》规定  客运工作人员要加强饮水设备动态巡视，（    ）。","ABCD","热水要烧开烧满","杜绝干烧","防止水不热","供应不及时",""
"349","《太原局集团有限公司客运设备设施管理办法》规定   客运工作人员要对饮水处卫生定时检查，督促保洁人员及时清理，节约用水。","A","对","错","","",""
"350","《太原局集团有限公司客运设备设施管理办法》规定   （     ），防止有人蓄意破坏或投毒。","AB","可开启式箱盖的车站电开水器实行加锁制度","列车保温桶实行加锁制度","可开启式箱盖的车站电开水器重点管理","列车保温桶实行重点管理",""
"351","《太原局集团有限公司客运设备设施管理办法》规定   遇车站停水时，（     ）。","ABC","启动供水应急预案","在候车室指定处所放置临时饮水设备","车站定点定时送水","及时通知旅客即可",""
"352","《太原局集团有限公司客运设备设施管理办法》规定  音视频记录仪、对讲机、手持作业终端等移动作业终端的发放实行签字领取制度，领取人必须注明(      )。","ABCD","岗位","职称","姓名","领取原因",""
"353","《太原局集团有限公司客运设备设施管理办法》规定  岗位交接的移动作业终端，接班时必须(      )。","ABCD","检查设备状态是否良好","个人保管的移动作业终端应妥善保管","爱护使用","上岗前保证电量充足",""
"354","《太原局集团有限公司客运设备设施管理办法》规定   使用对讲机讲话时，(     )。","ABC","用语要简明扼要","使用文明用语","严禁讲与工作无关的事情","可安排简单的其他事宜",""
"355","《太原局集团有限公司客运设备设施管理办法》规定   移动作业终端仅限于在值班时携带使用。（      ）等行为。","ABCD","严禁转借他人","严禁个人携带外出","严禁私自乱拆、乱调","严禁私自抛扔、敲打",""
"356","《太原局集团有限公司客运设备设施管理办法》规定   移动作业终端仅限于在值班时携带使用。对人为造成损坏、丢失者，将追究责任，并按价赔偿。","A","对","错","","",""
"357","《太原局集团有限公司客运设备设施管理办法》规定   在（     ）内设置温度计，用于测量室温。","ABCD","候车室","售票厅","软席","贵宾室",""
"358","《太原局集团有限公司客运设备设施管理办法》规定  在供热期和制冷期内，站段要指定人员根据气温变化负责开启设备。原则上保持（     ）。若室温不符合以上标准，工作人员应及时调整。","AB","冬季18℃-20℃","夏季26℃-28℃","冬季18℃-22℃","夏季24℃-28℃",""
"359","《太原局集团有限公司客运设备设施管理办法》规定   车站空调系统出现故障时，要组织维保厂家进行修复，属于房建部门负责维修的，及时通知房建部门及时处理。无法及时修复时，要及时向旅客做好解释工作。","A","对","错","","",""
"360","《太原局集团有限公司客运设备设施管理办法》规定    车站空调系统维保人员负责对设备设施每天巡检一次，定期保养，发现故障及时处理，确保运用状态良好。","A","对","错","","",""
"361","《太原局集团有限公司客运设备设施管理办法》规定   车站空调系统每年停用时要维保一次，为下年的使用打好基础。","A","对","错","","",""
"362","《太原局集团有限公司客运设备设施管理办法》规定   使用人员发现空调系统有异常现象，（    ）。","BCD","只需通知客运值班员","应及时关掉电源","通知维保人员处理","不得擅自拆卸处理",""
"363","《太原局集团有限公司客运设备设施管理办法》规定   客运车站要加强站区旅客进出站通道照明灯具的日常巡视检查，发现故障应及时更换。遇站房照明配线设备故障时，及时联系房建部门处置。","A","对","错","","",""
"364","《太原局集团有限公司客运设备设施管理办法》规定   监控人员要严格执行各项操作使用规程，（     ）。","ABCD","严禁乱动调设备","严禁乱调设备","及时制止无关人员操作监控设备","确保系统正常使用",""
"365","《太原局集团有限公司客运设备设施管理办法》规定    监控人员对监控探头角度(      )。","ABCD","要进行实时监测和管理","防止监控探头长时间监控无效角度","发现图像缺失、黑屏、图像质量劣化等影响使用的问题，要及时向维护部门申告故障","并做好相关记录",""
"366","《太原局集团有限公司客运设备设施管理办法》规定   发生故障时，站段应迅速组织组织有关人员积极抢修并做好原因分析。凡因使用管理不善，维修不及时造成损失的，要追究当事人和有关领导责任。","A","对","错","","",""
"367","《太原局集团有限公司客运设备设施管理办法》规定   客运设备发生故障时，使用管理人员应做好现场记录：(      )故障处理情况及采取的措施；故障报告人姓名、职务、报告时间。","ABCD","故障发生的时间、地点","设备设施名称、型号规格、负责人姓名","故障简要概况","故障性质及初步原因",""
"368","《太原局集团有限公司客运设备设施管理办法》规定 各站段对设备因人为故障应做到“(   )”。","ABCD","故障原因分析不清不放过","故障责任者未分清不放过","没有整改措施不放过","没有处理结果不放过",""
"369","中铁银通卡卡背面印有持卡人的（   ）。","ABC","有效身份证件号码","姓名","照片","性别",""
"370","《中国铁路太原局集团有限公司中铁银通卡使用管理办法》规定  中铁银通卡分为金卡和银卡两种。","A","对","错","","",""
"371","《中国铁路太原局集团有限公司中铁银通卡使用管理办法》规定  卡片丢失后，持卡人（    ）。","AB","可通过中铁银通公司客服电话（4008-368-368）办理临时挂失","也可在中铁银通卡窗口办理正式挂失","不可挂失","不予挂失",""
"372","《中国铁路太原局集团有限公司中铁银通卡使用管理办法》规定 挂失仅支持联机账户的挂失，不支持电子现金的挂失。","A","对","错","","",""
"373","《中国铁路太原局集团有限公司中铁银通卡使用管理办法》规定卡片正式挂失后不能解挂，持卡人可即时办理补卡或退卡。","A","对","错","","",""
"374","《中国铁路太原局集团有限公司中铁银通卡使用管理办法》规定   旅客刷卡进站后，仍在同一车站刷卡出站时，进出站刷卡时间（    ）的，由闸机自动扣减2元钱款。","AB","间隔小于30分钟","间隔等于30分钟","超过30分钟","超过60分钟",""
"375","《中国铁路太原局集团有限公司中铁银通卡使用管理办法》规定   旅客刷卡进站后，仍在同一车站刷卡出站时，进出站时间间隔在30分钟至2小时的，按（   ）扣减一次往返票款。","B","本车次全程","本站至最远到站","本站至最近到站","本站至终点站",""
